"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 07월 31일","26,319.0","26,414.0","26,457.0","25,905.0","235.90K","0.39%"
"2020년 07월 30일","26,218.0","26,454.0","26,477.0","25,881.0","214.15K","-0.84%"
"2020년 07월 29일","26,440.0","26,295.0","26,500.0","26,187.0","138.13K","0.54%"
"2020년 07월 28일","26,297.0","26,512.0","26,599.0","26,252.0","147.52K","-0.71%"
"2020년 07월 27일","26,484.0","26,275.0","26,523.0","26,232.0","141.72K","0.62%"
"2020년 07월 24일","26,322.0","26,548.0","26,615.0","26,290.0","179.33K","-0.83%"
"2020년 07월 23일","26,543.0","26,885.0","27,057.0","26,449.0","193.08K","-1.27%"
"2020년 07월 22일","26,884.0","26,727.0","26,928.0","26,526.0","163.00K","0.59%"
"2020년 07월 21일","26,726.0","26,625.0","26,925.0","26,590.0","173.82K","0.35%"
"2020년 07월 20일","26,633.0","26,541.0","26,655.0","26,330.0","168.31K","0.43%"
"2020년 07월 17일","26,520.0","26,565.0","26,724.0","26,502.0","151.72K","-0.12%"
"2020년 07월 16일","26,553.0","26,814.0","26,858.0","26,465.0","198.31K","-0.79%"
"2020년 07월 15일","26,765.0","26,644.0","27,063.0","26,571.0","242.95K","1.03%"
"2020년 07월 14일","26,491.0","25,986.0","26,575.0","25,874.0","296.50K","2.01%"
"2020년 07월 13일","25,968.0","26,025.0","26,524.0","25,914.0","265.05K","-0.03%"
"2020년 07월 10일","25,977.0","25,589.0","26,003.0","25,293.0","229.59K","1.59%"
"2020년 07월 09일","25,571.0","25,995.0","26,029.0","25,397.0","239.99K","-1.53%"
"2020년 07월 08일","25,969.0","25,770.0","25,999.0","25,661.0","209.66K","0.77%"
"2020년 07월 07일","25,770.0","26,167.0","26,280.0","25,741.0","192.27K","-1.56%"
"2020년 07월 06일","26,179.0","25,689.0","26,197.0","25,657.0","255.60K","2.15%"
"2020년 07월 03일","25,627.5","25,735.5","25,877.0","25,440.5","-","-0.51%"
"2020년 07월 02일","25,759.0","25,549.0","26,088.0","25,515.0","201.49K","0.72%"
"2020년 07월 01일","25,575.0","25,653.0","25,893.0","25,381.0","218.37K","-0.44%"
"2020년 06월 30일","25,689.0","25,479.0","25,772.0","25,301.0","200.32K","0.75%"
"2020년 06월 29일","25,497.0","24,777.0","25,543.0","24,743.0","225.69K","2.19%"
"2020년 06월 26일","24,950.0","25,540.0","25,653.0","24,837.0","262.64K","-2.52%"
"2020년 06월 25일","25,596.0","25,379.0","25,659.0","25,003.0","263.06K","0.80%"
"2020년 06월 24일","25,393.0","25,986.0","26,134.0","25,159.0","281.37K","-2.41%"
"2020년 06월 23일","26,020.0","25,955.0","26,294.0","25,514.0","200.22K","0.26%"
"2020년 06월 22일","25,953.0","25,370.0","25,987.0","25,230.0","176.36K","-2.01%"
"2020년 06월 19일","26,484.2","26,059.0","26,480.0","25,985.0","2.45K","1.77%"
"2020년 06월 18일","26,024.0","26,141.0","26,275.0","25,743.0","33.19K","-0.48%"
"2020년 06월 17일","26,150.0","26,249.0","26,623.0","26,049.0","60.28K","-0.65%"
"2020년 06월 16일","26,320.0","25,834.0","26,779.0","25,789.0","141.05K","2.00%"
"2020년 06월 15일","25,805.0","25,176.0","25,884.0","24,550.0","170.68K","1.05%"
"2020년 06월 12일","25,536.0","25,200.0","25,952.0","25,064.0","274.20K","1.47%"
"2020년 06월 11일","25,165.0","26,954.0","26,997.0","25,060.0","454.09K","-6.66%"
"2020년 06월 10일","26,961.0","27,257.0","27,488.0","26,901.0","266.71K","-1.11%"
"2020년 06월 09일","27,264.0","27,562.0","27,624.0","27,126.0","222.34K","-0.96%"
