,³¯Â¥,USD_EUR,USD_JPY,USD_CNY
0,2020.08.17,0.8427,106.06,6.9315
1,2020.08.15,0.8444,106.59,6.9503
2,2020.08.14,0.8453,106.45,6.95
3,2020.08.13,0.8446,106.87,6.9451
4,2020.08.12,0.8469,106.88,6.9383
5,2020.08.11,0.85,106.44,6.9473
6,2020.08.10,0.8498,105.76,6.9593
7,2020.08.08,0.8485,105.91,6.9678
8,2020.08.07,0.8482,105.88,6.9676
9,2020.08.06,0.8443,105.51,6.9533
10,2020.08.05,0.8417,105.56,6.9379
11,2020.08.04,0.8508,105.95,6.976
12,2020.08.03,0.8519,106.09,6.9834
13,2020.08.01,0.849,105.83,6.9752
14,2020.07.31,0.8454,105.71,6.9751
15,2020.07.30,0.8478,105.02,7.0087
16,2020.07.29,0.8493,105.09,7.0024
17,2020.07.28,0.8527,104.96,7.0007
18,2020.07.27,0.8492,105.13,6.9981
19,2020.07.25,0.8579,106.12,7.0173
20,2020.07.24,0.8603,105.86,7.0138
21,2020.07.23,0.8625,106.98,7.0051
22,2020.07.22,0.8626,107.18,6.9976
23,2020.07.21,0.8705,106.89,6.9826
24,2020.07.20,0.8742,107.19,6.9836
25,2020.07.18,0.875,107.04,6.9922
26,2020.07.17,0.8755,107.14,6.9956
27,2020.07.16,0.8748,107.12,6.9902
28,2020.07.15,0.8757,106.83,6.9874
29,2020.07.14,0.8775,107.26,6.9956
30,2020.07.13,0.8797,107.27,6.9976
31,2020.07.11,0.8853,106.91,7.0018
32,2020.07.10,0.8836,106.76,6.9986
33,2020.07.09,0.8852,107.27,6.9921
34,2020.07.08,0.8827,107.51,7.0009
35,2020.07.07,0.8861,107.53,7.015
36,2020.07.06,0.8836,107.47,7.0182
37,2020.07.04,0.8891,107.51,7.0664
38,2020.07.03,0.8894,107.52,7.0663
39,2020.07.02,0.8907,107.63,7.0672
40,2020.07.01,0.8881,107.5,7.0702
41,2020.06.30,0.8905,107.87,7.0667
42,2020.06.29,0.8891,107.7,7.0811
43,2020.06.27,0.8914,107.18,7.0784
44,2020.06.26,0.8927,107.34,7.0784
45,2020.06.25,0.8918,107.16,7.0782
46,2020.06.24,0.8871,106.92,7.0777
47,2020.06.23,0.8824,106.22,7.0595
48,2020.06.22,0.889,106.88,7.0682
49,2020.06.20,0.8947,106.86,7.0723
50,2020.06.19,0.8939,106.96,7.0732
51,2020.06.18,0.8914,106.77,7.0905
52,2020.06.17,0.8913,107.24,7.0859
53,2020.06.16,0.8897,107.36,7.0877
54,2020.06.15,0.8869,107.4,7.0919
55,2020.06.13,0.8885,107.36,7.0834
56,2020.06.12,0.8897,107.35,7.0815
57,2020.06.11,0.8787,106.64,7.0656
58,2020.06.10,0.881,107.23,7.0595
59,2020.06.09,0.8808,107.71,7.0778
60,2020.06.08,0.8849,108.57,7.0702
61,2020.06.06,0.8856,109.62,7.082
62,2020.06.05,0.884,109.74,7.0884
63,2020.06.04,0.8815,108.99,7.1081
64,2020.06.03,0.8914,108.83,7.1245
65,2020.06.02,0.8943,108.6,7.1019
66,2020.06.01,0.8981,107.55,7.1303
67,2020.05.30,0.9005,107.8,7.1373
68,2020.05.29,0.8987,107.68,7.1325
69,2020.05.28,0.9045,107.61,7.1456
70,2020.05.27,0.9112,107.82,7.1696
71,2020.05.26,0.9104,107.59,7.1354
72,2020.05.25,0.918,107.68,7.1366
73,2020.05.23,0.9174,107.64,7.1304
74,2020.05.22,0.9184,107.47,7.1324
75,2020.05.21,0.9139,107.81,7.1144
