,국제 금
2020-08-14,"74,264.93"
2020-08-13,"73,644.44"
2020-08-12,"73,314.29"
2020-08-11,"75,746.62"
2020-08-10,"77,616.66"
2020-08-07,"78,538.90"
2020-08-06,"78,009.22"
2020-08-05,"77,748.00"
2020-08-04,"75,873.57"
2020-08-03,"75,761.76"
2020-07-31,"75,628.90"
2020-07-30,"75,110.59"
2020-07-29,"75,110.45"
2020-07-28,"74,342.85"
2020-07-27,"74,332.14"
2020-07-24,"73,293.98"
2020-07-23,"72,451.43"
2020-07-22,"71,170.07"
2020-07-21,"70,129.97"
2020-07-20,"70,104.72"
2020-07-17,"69,793.91"
2020-07-16,"69,966.63"
2020-07-15,"70,004.80"
2020-07-14,"69,827.02"
2020-07-13,"69,933.64"
2020-07-10,"69,735.18"
2020-07-09,"69,748.21"
2020-07-08,"69,184.17"
2020-07-07,"68,443.14"
2020-07-06,"68,269.27"
2020-07-03,"68,467.70"
2020-07-02,"68,278.07"
2020-07-01,"68,941.28"
2020-06-30,"68,559.78"
2020-06-29,"68,365.71"
2020-06-26,"68,031.56"
2020-06-25,"68,260.42"
2020-06-24,"68,597.30"
2020-06-23,"68,273.80"
2020-06-22,"68,240.44"
2020-06-19,"67,187.87"
2020-06-18,"67,372.49"
2020-06-17,"67,108.01"
2020-06-16,"67,428.65"
2020-06-15,"67,218.66"
2020-06-12,"67,103.10"
2020-06-11,"66,560.65"
2020-06-10,"65,767.69"
2020-06-09,"65,824.02"
2020-06-08,"65,391.21"
2020-06-05,"66,520.51"
2020-06-04,"66,821.56"
2020-06-03,"67,217.04"
2020-06-02,"68,301.98"
2020-06-01,"68,505.74"
2020-05-29,"68,657.12"
2020-05-28,"68,552.66"
2020-05-27,"67,768.15"
2020-05-26,"68,382.18"
2020-05-25,"68,997.60"
2020-05-22,"69,291.72"
2020-05-21,"68,585.05"
2020-05-20,"69,212.24"
2020-05-19,"68,443.17"
2020-05-18,"69,901.59"
2020-05-15,"68,675.80"
2020-05-14,"67,789.06"
2020-05-13,"67,037.02"
2020-05-12,"67,167.57"
2020-05-11,"66,993.98"
2020-05-08,"67,501.15"
2020-05-07,"66,642.08"
2020-05-06,"67,019.63"
2020-05-04,"67,185.71"
2020-04-29,"66,987.71"
2020-04-28,"66,917.79"
2020-04-27,"67,930.28"
2020-04-24,"68,690.82"
2020-04-23,"68,273.92"
2020-04-22,"67,230.19"
2020-04-21,"67,011.58"
2020-04-20,"65,853.16"
2020-04-17,"66,364.47"
2020-04-16,"67,918.19"
2020-04-14,"67,164.06"
2020-04-13,"66,032.09"
2020-04-10,"65,925.04"
2020-04-09,"65,063.58"
2020-04-08,"64,800.45"
2020-04-07,"64,758.44"
2020-04-06,"64,672.05"
2020-04-03,"63,892.33"
2020-04-02,"62,630.87"
2020-04-01,"63,060.44"
2020-03-31,"63,310.80"
2020-03-30,"63,866.00"
2020-03-27,"63,581.64"
2020-03-26,"63,653.01"
2020-03-25,"63,467.63"
2020-03-24,"62,750.56"
2020-03-23,"60,659.97"
2020-03-20,"60,078.30"
2020-03-19,"60,964.48"
2020-03-18,"60,368.93"
2020-03-17,"59,111.17"
2020-03-16,"60,765.09"
2020-03-13,"62,151.57"
2020-03-12,"63,739.38"
2020-03-11,"63,525.30"
2020-03-10,"63,814.25"
2020-03-09,"64,726.25"
2020-03-06,"64,052.92"
2020-03-05,"62,482.49"
2020-03-04,"62,297.24"
2020-03-03,"61,232.04"
2020-03-02,"61,475.13"
2020-02-28,"63,710.91"
2020-02-27,"64,234.18"
2020-02-26,"64,329.28"
2020-02-25,"64,550.88"
2020-02-24,"65,775.68"
2020-02-21,"63,183.24"
2020-02-20,"62,228.30"
2020-02-19,"61,466.66"
2020-02-18,"60,795.19"
2020-02-17,"60,152.76"
2020-02-14,"59,879.41"
2020-02-13,"59,808.48"
2020-02-12,"59,266.22"
2020-02-11,"59,664.73"
2020-02-10,"60,123.02"
2020-02-07,"59,948.99"
2020-02-06,"59,335.92"
2020-02-05,"59,304.63"
2020-02-04,"59,854.87"
2020-02-03,"60,450.07"
2020-01-31,"60,542.56"
2020-01-30,"60,447.42"
2020-01-29,"59,476.42"
2020-01-28,"59,900.63"
2020-01-23,"58,463.42"
2020-01-22,"58,245.75"
2020-01-21,"58,360.64"
2020-01-20,"58,160.29"
2020-01-17,"57,924.73"
2020-01-16,"57,921.66"
2020-01-15,"57,786.83"
2020-01-14,"57,542.12"
2020-01-13,"57,613.07"
2020-01-10,"57,943.17"
2020-01-09,"57,731.05"
2020-01-08,"59,451.42"
2020-01-07,"58,637.35"
2020-01-06,"59,286.12"
2020-01-03,"57,918.62"
2020-01-02,"56,592.37"
2019-12-31,"56,647.93"
2019-12-30,"56,266.30"
2019-12-27,"56,427.29"
2019-12-26,"56,193.04"
2019-12-24,"55,747.13"
2019-12-23,"55,549.22"
2019-12-20,"55,112.53"
2019-12-19,"55,303.96"
2019-12-18,"55,445.28"
2019-12-17,"55,476.45"
2019-12-16,"55,669.79"
2019-12-13,"55,459.40"
2019-12-12,"56,220.17"
2019-12-11,"56,316.77"
2019-12-10,"56,112.21"
2019-12-09,"56,073.97"
2019-12-06,"56,436.46"
2019-12-05,"56,464.83"
2019-12-04,"56,903.41"
2019-12-03,"55,892.91"
2019-12-02,"55,473.10"
2019-11-29,"55,260.46"
2019-11-28,"55,226.95"
2019-11-27,"55,224.37"
2019-11-26,"55,171.76"
2019-11-25,"55,147.61"
2019-11-22,"55,516.85"
2019-11-21,"55,737.54"
2019-11-20,"55,640.88"
2019-11-19,"55,123.63"
2019-11-18,"54,666.75"
2019-11-15,"55,032.45"
2019-11-14,"55,266.48"
2019-11-13,"54,825.57"
2019-11-12,"54,305.26"
2019-11-11,"54,904.37"
2019-11-08,"54,729.61"
2019-11-07,"55,309.58"
2019-11-06,"55,341.40"
2019-11-05,"55,887.95"
2019-11-04,"56,346.57"
2019-11-01,"56,685.26"
2019-10-31,"56,162.19"
2019-10-30,"55,897.28"
2019-10-29,"56,002.28"
2019-10-28,"56,676.66"
2019-10-25,"56,818.17"
2019-10-24,"56,211.94"
2019-10-23,"56,311.90"
2019-10-22,"56,177.78"
2019-10-21,"56,103.37"
2019-10-18,"56,490.77"
2019-10-17,"56,485.39"
2019-10-16,"56,737.13"
2019-10-15,"57,004.02"
2019-10-14,"56,736.96"
2019-10-11,"57,172.20"
2019-10-10,"57,990.24"
2019-10-08,"57,581.79"
2019-10-07,"57,837.28"
2019-10-04,"58,063.36"
2019-10-02,"57,455.05"
2019-10-01,"56,505.22"
2019-09-30,"57,391.88"
2019-09-27,"57,711.71"
2019-09-26,"58,217.99"
2019-09-25,"59,075.73"
2019-09-24,"58,432.07"
2019-09-23,"58,561.00"
2019-09-20,"57,544.15"
2019-09-19,"57,484.06"
2019-09-18,"57,572.95"
2019-09-17,"57,330.91"
2019-09-16,"57,149.79"
2019-09-11,"57,335.40"
2019-09-10,"57,250.69"
2019-09-09,"57,870.55"
2019-09-06,"57,973.26"
2019-09-05,"59,570.44"
2019-09-04,"59,712.46"
2019-09-03,"59,901.74"
2019-09-02,"59,299.01"
2019-08-30,"59,330.69"
2019-08-29,"60,031.36"
2019-08-28,"60,160.60"
2019-08-27,"59,786.80"
2019-08-26,"59,655.16"
2019-08-23,"58,264.00"
2019-08-22,"58,209.34"
2019-08-21,"57,997.63"
2019-08-20,"58,382.73"
2019-08-19,"58,397.18"
2019-08-16,"58,829.29"
2019-08-14,"58,573.80"
2019-08-13,"59,898.99"
2019-08-12,"58,905.51"
2019-08-09,"58,506.20"
2019-08-08,"58,191.46"
2019-08-07,"58,109.29"
2019-08-06,"57,166.11"
2019-08-05,"56,939.76"
2019-08-02,"55,445.57"
2019-08-01,"53,683.24"
2019-07-31,"54,408.42"
2019-07-30,"54,183.24"
2019-07-29,"54,050.10"
2019-07-26,"53,984.30"
2019-07-25,"54,188.55"
2019-07-24,"53,979.61"
2019-07-23,"53,748.72"
2019-07-22,"53,970.36"
2019-07-19,"54,414.84"
2019-07-18,"53,874.42"
2019-07-17,"53,277.73"
2019-07-16,"53,588.40"
2019-07-15,"53,741.21"
2019-07-12,"53,409.53"
2019-07-11,"53,729.87"
2019-07-10,"52,919.19"
2019-07-09,"52,796.53"
2019-07-08,"53,380.49"
2019-07-05,"53,261.43"
2019-07-04,"53,123.27"
2019-07-03,"53,601.33"
2019-07-02,"52,301.20"
2019-07-01,"51,905.16"
2019-06-28,"52,548.10"
2019-06-27,"52,199.66"
2019-06-26,"52,485.80"
2019-06-25,"53,199.23"
2019-06-24,"52,323.77"
2019-06-21,"52,016.35"
2019-06-20,"51,540.28"
2019-06-19,"50,757.27"
2019-06-18,"51,330.32"
2019-06-17,"50,913.40"
2019-06-14,"51,606.36"
2019-06-13,"50,860.32"
2019-06-12,"50,869.24"
2019-06-11,"50,222.14"
2019-06-10,"50,644.78"
2019-06-07,"50,918.41"
2019-06-05,"50,521.45"
2019-06-04,"50,389.29"
2019-06-03,"49,966.18"
2019-05-31,"49,605.36"
2019-05-30,"48,911.19"
2019-05-29,"49,338.76"
2019-05-28,"49,132.06"
2019-05-27,"49,013.67"
2019-05-24,"48,981.41"
2019-05-23,"48,898.10"
2019-05-22,"48,796.94"
2019-05-21,"49,035.64"
2019-05-20,"48,979.23"
2019-05-17,"49,462.14"
2019-05-16,"49,583.85"
2019-05-15,"49,693.92"
2019-05-14,"49,586.89"
2019-05-13,"49,006.23"
2019-05-10,"48,666.48"
2019-05-09,"48,842.93"
