"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 07월 31일","10,890.50","10,906.50","10,939.00","10,691.00","631.55K","0.89%"
"2020년 07월 30일","10,794.00","10,700.00","10,897.25","10,502.75","521.16K","1.12%"
"2020년 07월 29일","10,674.25","10,558.00","10,699.75","10,512.25","368.01K","1.27%"
"2020년 07월 28일","10,540.00","10,682.50","10,758.50","10,514.00","445.25K","-1.27%"
"2020년 07월 27일","10,675.25","10,490.00","10,684.00","10,401.00","444.80K","2.07%"
"2020년 07월 24일","10,459.00","10,565.50","10,597.00","10,301.00","652.48K","-0.85%"
"2020년 07월 23일","10,548.25","10,850.00","10,938.50","10,514.50","644.19K","-2.37%"
"2020년 07월 22일","10,804.25","10,850.75","10,916.25","10,761.25","483.85K","-0.43%"
"2020년 07월 21일","10,851.00","10,952.25","11,058.00","10,784.75","587.99K","-0.91%"
"2020년 07월 20일","10,951.00","10,621.25","10,964.50","10,546.25","496.40K","3.09%"
"2020년 07월 17일","10,622.50","10,532.25","10,669.75","10,523.75","443.14K","1.05%"
"2020년 07월 16일","10,511.75","10,693.00","10,698.25","10,475.50","628.90K","-1.61%"
"2020년 07월 15일","10,683.25","10,706.00","10,766.50","10,551.25","719.95K","0.35%"
"2020년 07월 14일","10,646.25","10,602.00","10,693.00","10,358.75","915.01K","0.44%"
"2020년 07월 13일","10,600.00","10,848.25","11,058.50","10,561.50","736.18K","-2.19%"
"2020년 07월 10일","10,837.25","10,727.00","10,847.50","10,625.50","527.57K","1.02%"
"2020년 07월 09일","10,727.50","10,674.25","10,774.25","10,560.00","607.39K","0.61%"
"2020년 07월 08일","10,662.25","10,526.00","10,673.00","10,505.25","481.02K","1.23%"
"2020년 07월 07일","10,532.25","10,600.00","10,694.50","10,505.75","465.21K","-0.63%"
"2020년 07월 06일","10,598.50","10,347.25","10,614.50","10,341.50","486.37K","2.61%"
"2020년 07월 03일","10,328.88","10,348.00","10,389.25","10,310.25","-","-0.26%"
"2020년 07월 02일","10,355.75","10,258.50","10,422.25","10,246.50","404.76K","0.85%"
"2020년 07월 01일","10,268.75","10,141.00","10,310.00","10,076.00","402.79K","1.20%"
"2020년 06월 30일","10,147.25","9,983.00","10,171.50","9,940.25","422.35K","1.74%"
"2020년 06월 29일","9,973.75","9,785.50","9,997.00","9,728.75","479.54K","1.10%"
"2020년 06월 26일","9,865.50","10,087.00","10,120.50","9,824.25","576.15K","-2.21%"
"2020년 06월 25일","10,088.25","10,005.25","10,107.00","9,885.50","514.25K","0.77%"
"2020년 06월 24일","10,010.75","10,183.00","10,242.00","9,927.25","661.65K","-1.82%"
"2020년 06월 23일","10,196.00","10,121.50","10,296.25","9,972.25","406.48K","0.70%"
"2020년 06월 22일","10,124.75","9,868.00","10,134.50","9,843.50","354.77K","0.04%"
"2020년 06월 19일","10,120.84","9,997.25","10,123.25","9,997.25","4.46K","1.25%"
"2020년 06월 18일","9,995.75","9,995.25","10,040.75","9,879.50","67.46K","0.01%"
"2020년 06월 17일","9,994.50","9,961.75","10,059.00","9,927.00","100.47K","0.22%"
"2020년 06월 16일","9,972.50","9,812.50","10,013.75","9,797.75","216.31K","1.76%"
"2020년 06월 15일","9,800.50","9,536.75","9,815.50","9,381.75","319.21K","1.61%"
"2020년 06월 12일","9,645.00","9,616.00","9,849.25","9,494.75","508.84K","0.29%"
"2020년 06월 11일","9,616.75","10,086.25","10,107.00","9,584.50","828.94K","-4.66%"
"2020년 06월 10일","10,087.25","9,960.00","10,155.50","9,958.50","557.71K","1.37%"
"2020년 06월 09일","9,951.00","9,887.25","10,005.25","9,811.50","437.44K","0.67%"
"2020년 06월 08일","9,884.75","9,819.00","9,901.00","9,747.00","391.65K","0.78%"
"2020년 06월 05일","9,808.50","9,643.50","9,846.25","9,601.75","513.66K","1.89%"
"2020년 06월 04일","9,626.25","9,685.50","9,742.50","9,572.25","462.36K","-0.60%"
"2020년 06월 03일","9,684.75","9,657.50","9,728.25","9,635.50","376.69K","0.38%"
"2020년 06월 02일","9,647.75","9,590.00","9,670.00","9,504.75","389.91K","0.55%"
"2020년 06월 01일","9,595.00","9,513.00","9,605.75","9,450.25","345.59K","0.36%"
"2020년 05월 29일","9,560.25","9,453.50","9,590.50","9,372.00","529.70K","1.06%"
"2020년 05월 28일","9,460.25","9,436.50","9,565.50","9,320.50","510.62K","0.29%"
"2020년 05월 27일","9,432.50","9,409.00","9,508.00","9,172.50","560.52K","0.28%"
"2020년 05월 26일","9,406.50","9,396.25","9,604.00","9,373.00","486.55K","-1.08%"
"2020년 05월 25일","9,509.12","9,457.25","9,535.62","9,416.88","-","0.56%"
"2020년 05월 24일","9,456.12","9,419.25","9,462.62","9,393.00","-","0.53%"
"2020년 05월 22일","9,406.25","9,360.50","9,422.50","9,241.50","365.38K","0.54%"
"2020년 05월 21일","9,355.75","9,494.75","9,510.75","9,352.00","429.22K","-1.37%"
"2020년 05월 20일","9,485.50","9,289.75","9,498.00","9,273.00","369.92K","1.99%"
"2020년 05월 19일","9,300.75","9,316.25","9,417.25","9,283.75","392.50K","-0.27%"
"2020년 05월 18일","9,325.50","9,135.00","9,361.50","9,110.25","398.56K","2.52%"
"2020년 05월 15일","9,096.50","9,085.50","9,148.50","8,925.50","537.25K","0.19%"
"2020년 05월 14일","9,079.50","9,012.75","9,104.00","8,847.00","639.07K","0.97%"
"2020년 05월 13일","8,992.25","9,045.75","9,202.75","8,878.25","703.29K","-0.95%"
"2020년 05월 12일","9,078.25","9,282.00","9,345.50","9,040.50","500.54K","-2.16%"
"2020년 05월 11일","9,279.00","9,194.75","9,339.00","9,118.50","398.14K","0.66%"
"2020년 05월 08일","9,218.25","9,115.00","9,238.00","9,103.25","362.32K","1.21%"
"2020년 05월 07일","9,107.75","8,947.50","9,126.00","8,930.25","383.88K","1.74%"
"2020년 05월 06일","8,952.00","8,928.50","9,056.50","8,877.75","414.05K","0.31%"
"2020년 05월 05일","8,924.25","8,806.25","9,020.00","8,798.50","367.23K","1.46%"
"2020년 05월 04일","8,795.50","8,624.00","8,828.00","8,556.25","381.91K","0.89%"
"2020년 05월 01일","8,718.00","8,847.00","8,879.00","8,672.00","414.56K","-3.01%"
"2020년 04월 30일","8,988.50","9,109.50","9,144.75","8,856.50","462.96K","-0.53%"
"2020년 04월 29일","9,036.50","8,759.25","9,118.75","8,733.75","432.41K","3.63%"
"2020년 04월 28일","8,719.75","8,819.00","8,945.75","8,654.50","440.94K","-1.18%"
"2020년 04월 27일","8,824.25","8,766.00","8,898.00","8,730.00","355.55K","0.63%"
"2020년 04월 24일","8,769.00","8,588.25","8,780.25","8,498.25","380.23K","1.98%"
"2020년 04월 23일","8,598.75","8,636.25","8,786.50","8,580.50","435.11K","-0.45%"
"2020년 04월 22일","8,638.00","8,447.00","8,700.00","8,400.00","373.07K","2.45%"
"2020년 04월 21일","8,431.75","8,695.00","8,763.00","8,342.00","582.45K","-2.99%"
"2020년 04월 20일","8,692.00","8,799.50","8,846.00","8,687.00","427.98K","-1.33%"
"2020년 04월 17일","8,809.00","8,909.75","8,966.75","8,689.50","509.56K","0.86%"
"2020년 04월 16일","8,734.25","8,576.00","8,842.50","8,500.50","539.16K","1.63%"
"2020년 04월 15일","8,594.00","8,706.25","8,707.50","8,486.50","407.75K","-1.13%"
"2020년 04월 14일","8,692.50","8,337.00","8,710.00","8,319.00","431.92K","4.39%"
"2020년 04월 13일","8,327.25","8,296.00","8,338.75","8,073.25","385.07K","1.07%"
"2020년 04월 10일","8,238.75","8,238.75","8,238.75","8,238.75","-","0.14%"
"2020년 04월 09일","8,227.50","8,195.25","8,326.25","8,101.75","522.65K","0.46%"
"2020년 04월 08일","8,189.75","8,015.00","8,242.00","7,953.25","424.38K","2.22%"
"2020년 04월 07일","8,012.00","8,034.25","8,303.25","7,948.00","531.04K","-0.22%"
"2020년 04월 06일","8,029.75","7,535.75","8,099.00","7,535.50","396.87K","6.74%"
"2020년 04월 03일","7,522.75","7,623.00","7,660.25","7,423.50","351.87K","-1.37%"
"2020년 04월 02일","7,627.25","7,473.50","7,656.25","7,376.00","436.83K","2.53%"
"2020년 04월 01일","7,438.75","7,772.50","7,773.50","7,404.25","411.36K","-4.46%"
"2020년 03월 31일","7,786.25","7,856.75","7,995.00","7,747.50","424.39K","-0.87%"
"2020년 03월 30일","7,854.75","7,395.75","7,884.00","7,365.00","419.58K","3.78%"
"2020년 03월 27일","7,568.50","7,882.75","7,893.25","7,551.25","-","-3.51%"
"2020년 03월 26일","7,844.00","7,483.50","7,893.50","7,310.25","-","5.04%"
"2020년 03월 25일","7,467.75","7,544.75","7,761.00","7,371.50","-","-1.15%"
"2020년 03월 24일","7,554.75","7,005.75","7,572.25","7,005.75","-","8.16%"
"2020년 03월 23일","6,984.50","6,798.00","7,316.25","6,628.75","-","-5.84%"
"2020년 03월 20일","7,417.98","7,195.00","7,649.00","7,153.50","-","1.71%"
"2020년 03월 19일","7,293.50","7,251.75","7,521.50","6,894.25","115.52K","0.94%"
"2020년 03월 18일","7,225.25","7,386.00","7,392.25","6,830.00","156.28K","-2.43%"
"2020년 03월 17일","7,405.25","7,053.00","7,552.25","6,948.75","317.50K","4.93%"
"2020년 03월 16일","7,057.50","7,903.00","7,905.25","6,927.00","307.37K","-10.84%"
"2020년 03월 13일","7,915.75","7,100.00","7,978.00","6,942.50","584.27K","9.71%"
"2020년 03월 12일","7,215.25","7,998.75","8,108.00","7,128.50","876.29K","-9.85%"
"2020년 03월 11일","8,003.50","8,317.00","8,334.25","7,892.75","990.24K","-3.94%"
"2020년 03월 10일","8,331.50","7,893.75","8,378.75","7,814.25","982.07K","4.78%"
"2020년 03월 09일","7,951.50","8,369.00","8,375.00","7,820.00","560.91K","-6.49%"
"2020년 03월 06일","8,503.25","8,677.00","8,726.50","8,310.50","1.10M","-1.68%"
"2020년 03월 05일","8,648.75","8,889.00","8,899.75","8,610.75","954.10K","-2.78%"
"2020년 03월 04일","8,896.50","8,557.50","8,950.00","8,508.25","939.03K","3.66%"
"2020년 03월 03일","8,582.50","8,830.50","9,002.50","8,511.00","1.30M","-2.37%"
"2020년 03월 02일","8,791.25","8,349.25","8,883.25","8,224.25","1.37M","3.99%"
"2020년 02월 28일","8,454.00","8,347.00","8,574.75","8,126.25","1.53M","0.85%"
"2020년 02월 27일","8,382.75","8,811.50","8,878.50","8,334.25","1.58M","-5.28%"
"2020년 02월 26일","8,850.25","8,868.25","9,037.50","8,709.50","1.25M","-0.05%"
"2020년 02월 25일","8,854.25","9,091.00","9,224.25","8,810.00","1.34M","-2.60%"
"2020년 02월 24일","9,091.00","9,355.25","9,365.00","9,041.25","1.17M","-3.88%"
"2020년 02월 21일","9,458.00","9,617.25","9,623.75","9,411.50","911.84K","-1.73%"
"2020년 02월 20일","9,624.25","9,744.75","9,763.00","9,517.00","802.42K","-1.12%"
"2020년 02월 19일","9,733.50","9,643.25","9,748.75","9,641.25","419.13K","1.01%"
"2020년 02월 18일","9,636.00","9,635.00","9,687.50","9,534.25","668.51K","0.34%"
"2020년 02월 17일","9,603.00","9,663.00","9,687.00","9,580.12","-","-0.63%"
"2020년 02월 16일","9,663.62","9,630.25","9,668.50","9,630.25","-","0.33%"
"2020년 02월 14일","9,632.25","9,626.25","9,659.25","9,588.00","489.39K","0.20%"
"2020년 02월 13일","9,613.00","9,621.50","9,644.75","9,511.25","613.58K","-0.13%"
"2020년 02월 12일","9,625.75","9,536.25","9,628.25","9,523.75","454.47K","1.03%"
"2020년 02월 11일","9,527.25","9,525.00","9,609.50","9,501.25","589.57K","-0.00%"
"2020년 02월 10일","9,527.50","9,401.50","9,531.50","9,330.75","500.15K","1.25%"
"2020년 02월 07일","9,409.50","9,467.00","9,471.00","9,385.00","592.70K","-0.49%"
"2020년 02월 06일","9,455.50","9,390.00","9,464.00","9,362.50","545.05K","0.79%"
"2020년 02월 05일","9,381.50","9,357.00","9,462.75","9,317.75","729.55K","0.28%"
"2020년 02월 04일","9,355.00","9,099.00","9,369.25","9,073.00","563.91K","2.64%"
"2020년 02월 03일","9,114.25","8,982.75","9,155.75","8,975.00","680.73K","1.29%"
"2020년 01월 31일","8,997.75","9,226.50","9,248.75","8,966.00","898.38K","-2.37%"
"2020년 01월 30일","9,216.25","9,111.25","9,240.00","9,003.50","846.59K","1.29%"
"2020년 01월 29일","9,098.50","9,119.50","9,158.75","9,072.25","578.41K","-0.07%"
"2020년 01월 28일","9,105.25","8,952.50","9,136.25","8,952.50","632.55K","1.68%"
"2020년 01월 27일","8,954.50","9,077.00","9,077.00","8,925.50","792.71K","-2.08%"
"2020년 01월 24일","9,144.50","9,252.00","9,287.25","9,109.50","758.80K","-1.12%"
"2020년 01월 23일","9,248.25","9,190.00","9,253.50","9,151.75","616.95K","0.57%"
