,날짜,CNY 매매기준율,CNY 구매,CNY 판매,EUR 매매기준율,EUR 구매,EUR 판매,JPY 매매기준율,JPY 구매,JPY 판매,USD 매매기준율,USD 구매,USD 판매
0,2020.08.18,170.93,179.47,162.39,1407.89,1435.76,1380.02,1119.88,1139.47,1100.29,1184.5,1205.22,1163.78
1,2020.08.14,170.7,179.23,162.17,1401.26,1429.0,1373.52,1111.53,1130.98,1092.08,1186.0,1206.75,1165.25
2,2020.08.13,170.66,179.19,162.13,1401.86,1429.61,1374.11,1109.34,1128.75,1089.93,1184.0,1204.72,1163.28
3,2020.08.12,170.58,179.1,162.06,1392.38,1419.94,1364.82,1109.55,1128.96,1090.14,1185.0,1205.73,1164.27
4,2020.08.11,170.61,179.14,162.08,1394.86,1422.47,1367.25,1116.87,1136.41,1097.33,1185.0,1205.73,1164.27
5,2020.08.10,170.37,178.88,161.86,1397.45,1425.11,1369.79,1120.71,1140.32,1101.1,1187.5,1208.28,1166.72
6,2020.08.07,170.33,178.84,161.82,1403.04,1430.82,1375.26,1123.16,1142.81,1103.51,1185.5,1206.24,1164.76
7,2020.08.06,170.62,179.15,162.09,1404.82,1432.63,1377.01,1122.63,1142.27,1102.99,1185.5,1206.24,1164.76
8,2020.08.05,171.04,179.59,162.49,1405.88,1433.71,1378.05,1123.99,1143.65,1104.33,1187.5,1208.28,1166.72
9,2020.08.04,170.93,179.47,162.39,1408.32,1436.2,1380.44,1127.48,1147.21,1107.75,1194.0,1214.89,1173.11
10,2020.08.03,171.09,179.64,162.54,1406.76,1434.61,1378.91,1131.05,1150.84,1111.26,1194.5,1215.4,1173.6
11,2020.07.31,170.46,178.98,161.94,1411.34,1439.28,1383.4,1137.12,1157.01,1117.23,1190.0,1210.82,1169.18
12,2020.07.30,170.64,179.17,162.11,1404.7,1432.51,1376.89,1138.51,1158.43,1118.59,1196.0,1216.93,1175.07
13,2020.07.29,170.35,178.86,161.84,1401.78,1429.53,1374.03,1137.34,1157.24,1117.44,1192.5,1213.36,1171.64
14,2020.07.28,171.24,179.8,162.68,1405.81,1433.64,1377.98,1138.05,1157.96,1118.14,1199.5,1220.49,1178.51
15,2020.07.27,170.87,179.41,162.33,1400.01,1427.73,1372.29,1134.7,1154.55,1114.85,1197.0,1217.94,1176.06
16,2020.07.24,171.31,179.87,162.75,1396.08,1423.72,1368.44,1131.17,1150.96,1111.38,1203.0,1224.05,1181.95
17,2020.07.23,171.04,179.59,162.49,1387.34,1414.8,1359.88,1117.18,1136.73,1097.63,1196.5,1217.43,1175.57
18,2020.07.22,170.96,179.5,162.42,1380.7,1408.03,1353.37,1119.63,1139.22,1100.04,1198.0,1218.96,1177.04
19,2020.07.21,171.09,179.64,162.54,1369.42,1396.53,1342.31,1115.15,1134.66,1095.64,1196.0,1216.93,1175.07
20,2020.07.20,172.23,180.84,163.62,1379.81,1407.13,1352.49,1123.19,1142.84,1103.54,1203.5,1224.56,1182.44
21,2020.07.17,172.18,180.78,163.58,1374.94,1402.16,1347.72,1124.65,1144.33,1104.97,1204.5,1225.57,1183.43
22,2020.07.16,172.11,180.71,163.51,1372.53,1399.7,1345.36,1125.7,1145.39,1106.01,1204.5,1225.57,1183.43
23,2020.07.15,171.88,180.47,163.29,1373.92,1401.12,1346.72,1123.95,1143.61,1104.29,1201.5,1222.52,1180.48
24,2020.07.14,171.67,180.25,163.09,1368.85,1395.95,1341.75,1123.49,1143.15,1103.83,1205.5,1226.59,1184.41
25,2020.07.13,171.75,180.33,163.17,1360.59,1387.52,1333.66,1123.77,1143.43,1104.11,1203.0,1224.05,1181.95
26,2020.07.10,171.39,179.95,162.83,1355.89,1382.73,1329.05,1125.53,1145.22,1105.84,1201.5,1222.52,1180.48
27,2020.07.09,171.03,179.58,162.48,1354.53,1381.34,1327.72,1114.22,1133.71,1094.73,1195.0,1215.91,1174.09
28,2020.07.08,170.4,178.92,161.88,1349.69,1376.41,1322.97,1112.56,1132.02,1093.1,1196.0,1216.93,1175.07
29,2020.07.07,170.4,178.92,161.88,1348.54,1375.24,1321.84,1111.63,1131.08,1092.18,1197.0,1217.94,1176.06
30,2020.07.06,169.93,178.42,161.44,1348.8,1375.5,1322.1,1110.8,1130.23,1091.37,1195.0,1215.91,1174.09
31,2020.07.03,169.59,178.06,161.12,1347.68,1374.36,1321.0,1116.39,1135.92,1096.86,1199.0,1219.98,1178.02
32,2020.07.02,169.62,178.1,161.14,1354.9,1381.72,1328.08,1116.44,1135.97,1096.91,1198.5,1219.47,1177.53
33,2020.07.01,170.3,178.81,161.79,1351.57,1378.33,1324.81,1119.07,1138.65,1099.49,1203.0,1224.05,1181.95
34,2020.06.30,170.1,178.6,161.6,1350.93,1377.67,1324.19,1117.97,1137.53,1098.41,1203.5,1224.56,1182.44
35,2020.06.29,169.72,178.2,161.24,1351.76,1378.52,1325.0,1120.39,1139.99,1100.79,1200.5,1221.5,1179.5
36,2020.06.26,169.32,177.78,160.86,1347.64,1374.32,1320.96,1122.08,1141.71,1102.45,1199.5,1220.49,1178.51
37,2020.06.25,169.92,178.41,161.43,1352.69,1379.47,1325.91,1123.66,1143.32,1104.0,1204.0,1225.07,1182.93
38,2020.06.24,170.15,178.65,161.65,1358.86,1385.76,1331.96,1128.64,1148.39,1108.89,1202.0,1223.03,1180.97
39,2020.06.23,171.23,179.79,162.67,1364.96,1391.98,1337.94,1129.38,1149.14,1109.62,1209.0,1230.15,1187.85
40,2020.06.22,171.63,180.21,163.05,1362.15,1389.12,1335.18,1135.17,1155.03,1115.31,1213.5,1234.73,1192.27
41,2020.06.19,170.85,179.39,162.31,1354.77,1381.59,1327.95,1130.03,1149.8,1110.26,1208.0,1229.14,1186.86
42,2020.06.18,170.97,179.51,162.43,1360.73,1387.67,1333.79,1129.91,1149.68,1110.14,1209.0,1230.15,1187.85
43,2020.06.17,171.27,179.83,162.71,1365.84,1392.88,1338.8,1129.42,1149.18,1109.66,1213.0,1234.22,1191.78
44,2020.06.16,171.37,179.93,162.81,1374.41,1401.62,1347.2,1128.49,1148.23,1108.75,1212.0,1233.21,1190.79
45,2020.06.15,171.37,179.93,162.81,1368.7,1395.8,1341.6,1132.87,1152.69,1113.05,1215.0,1236.26,1193.74
46,2020.06.12,170.1,178.6,161.6,1363.0,1389.98,1336.02,1121.68,1141.3,1102.06,1203.0,1224.05,1181.95
47,2020.06.11,169.09,177.54,160.64,1359.94,1386.86,1333.02,1118.45,1138.02,1098.88,1194.5,1215.4,1173.6
48,2020.06.10,168.45,176.87,160.03,1352.46,1379.23,1325.69,1108.57,1127.96,1089.18,1189.5,1210.31,1168.69
49,2020.06.09,169.41,177.88,160.94,1352.36,1379.13,1325.59,1113.12,1132.59,1093.65,1200.5,1221.5,1179.5
50,2020.06.08,169.96,178.45,161.47,1357.13,1384.0,1330.26,1096.8,1115.99,1077.61,1201.0,1222.01,1179.99
51,2020.06.05,170.44,178.96,161.92,1370.4,1397.53,1343.27,1107.14,1126.51,1087.77,1209.0,1230.15,1187.85
52,2020.06.04,171.04,179.59,162.49,1366.62,1393.67,1339.57,1118.14,1137.7,1098.58,1219.0,1240.33,1197.67
53,2020.06.03,171.14,179.69,162.59,1365.38,1392.41,1338.35,1120.0,1139.6,1100.4,1218.0,1239.31,1196.69
54,2020.06.02,171.84,180.43,163.25,1364.97,1391.99,1337.95,1134.11,1153.95,1114.27,1222.0,1243.38,1200.62
55,2020.06.01,171.76,180.34,163.18,1366.88,1393.94,1339.82,1142.46,1162.45,1122.47,1227.0,1248.47,1205.53
56,2020.05.29,172.79,181.42,164.16,1375.48,1402.71,1348.25,1153.85,1174.04,1133.66,1237.5,1259.15,1215.85
57,2020.05.28,172.77,181.4,164.14,1364.0,1391.0,1337.0,1150.28,1170.4,1130.16,1240.0,1261.7,1218.3
58,2020.05.27,172.39,181.0,163.78,1355.27,1382.1,1328.44,1148.7,1168.8,1128.6,1236.0,1257.63,1214.37
59,2020.05.26,172.58,181.2,163.96,1350.82,1377.56,1324.08,1144.38,1164.4,1124.36,1232.5,1254.06,1210.94
60,2020.05.25,173.65,182.33,164.97,1351.99,1378.75,1325.23,1152.74,1172.91,1132.57,1241.5,1263.22,1219.78
61,2020.05.22,173.23,181.89,164.57,1352.15,1378.92,1325.38,1153.95,1174.14,1133.76,1240.5,1262.2,1218.8
62,2020.05.21,173.09,181.74,164.44,1349.31,1376.02,1322.6,1141.53,1161.5,1121.56,1230.0,1251.52,1208.48
63,2020.05.20,172.9,181.54,164.26,1347.33,1374.0,1320.66,1144.05,1164.07,1124.03,1231.0,1252.54,1209.46
64,2020.05.19,172.25,180.86,163.64,1342.47,1369.05,1315.89,1141.0,1160.96,1121.04,1226.0,1247.45,1204.55
65,2020.05.18,172.87,181.51,164.23,1334.49,1360.91,1308.07,1151.05,1171.19,1130.91,1234.5,1256.1,1212.9
66,2020.05.15,172.85,181.49,164.21,1330.79,1357.13,1304.45,1149.46,1169.57,1129.35,1230.5,1252.03,1208.97
67,2020.05.14,172.64,181.27,164.01,1327.54,1353.82,1301.26,1149.34,1169.45,1129.23,1227.5,1248.98,1206.02
68,2020.05.13,172.38,180.99,163.77,1328.51,1354.81,1302.21,1144.86,1164.89,1124.83,1225.0,1246.43,1203.57
69,2020.05.12,172.55,181.17,163.93,1326.6,1352.86,1300.34,1140.0,1159.95,1120.05,1225.5,1246.94,1204.06
70,2020.05.11,172.33,180.94,163.72,1323.29,1349.49,1297.09,1140.86,1160.82,1120.9,1223.0,1244.4,1201.6
71,2020.05.08,172.15,180.75,163.55,1322.34,1348.52,1296.16,1148.64,1168.74,1128.54,1221.0,1242.36,1199.64
72,2020.05.07,172.24,180.85,163.63,1322.27,1348.45,1296.09,1151.75,1171.9,1131.6,1225.0,1246.43,1203.57
73,2020.05.06,172.05,180.65,163.45,1321.92,1348.09,1295.75,1150.92,1171.06,1130.78,1224.0,1245.42,1202.58
74,2020.05.04,172.0,180.6,163.4,1341.92,1368.49,1315.35,1148.55,1168.64,1128.46,1225.5,1246.94,1204.06
