,국제 은
2020-08-18,28.05
2020-08-17,27.64
2020-08-14,26.07
2020-08-13,27.69
2020-08-12,25.95
2020-08-11,26.04
2020-08-10,29.25
2020-08-07,27.53
2020-08-06,28.39
2020-08-05,26.88
2020-08-04,26.01
2020-08-03,24.39
2020-07-31,24.19
2020-07-30,23.34
2020-07-29,24.30
2020-07-28,24.27
2020-07-27,24.48
2020-07-24,22.81
2020-07-23,22.95
2020-07-22,23.08
2020-07-21,21.50
2020-07-20,20.12
2020-07-17,19.68
2020-07-16,19.50
2020-07-15,19.68
2020-07-14,19.45
2020-07-13,19.71
2020-07-10,18.98
2020-07-09,18.88
2020-07-08,19.08
2020-07-07,18.63
2020-07-06,18.50
2020-07-02,18.24
2020-07-01,18.13
2020-06-30,18.54
2020-06-29,17.98
2020-06-26,18.04
2020-06-25,17.89
2020-06-24,17.66
2020-06-23,18.05
2020-06-22,17.89
2020-06-19,17.83
2020-06-18,17.49
2020-06-17,17.76
2020-06-16,17.63
2020-06-15,17.38
2020-06-12,17.46
2020-06-11,17.87
2020-06-10,17.78
2020-06-09,17.77
2020-06-08,17.87
2020-06-05,17.44
2020-06-04,18.02
2020-06-03,17.92
2020-06-02,18.21
2020-06-01,18.77
2020-05-29,18.44
2020-05-28,17.89
2020-05-27,17.68
2020-05-26,17.54
2020-05-22,17.66
2020-05-21,17.34
2020-05-20,18.00
2020-05-19,17.89
2020-05-18,17.46
2020-05-15,17.05
2020-05-14,16.14
2020-05-13,15.66
2020-05-12,15.69
2020-05-11,15.64
2020-05-08,15.74
2020-05-07,15.56
2020-05-06,14.99
2020-05-05,15.06
2020-05-04,14.72
2020-05-01,14.86
2020-04-30,14.90
2020-04-29,15.16
2020-04-28,15.17
2020-04-27,15.21
2020-04-24,15.25
2020-04-23,15.35
2020-04-22,15.28
2020-04-21,14.82
2020-04-20,15.56
2020-04-17,15.24
2020-04-16,15.56
2020-04-15,15.45
2020-04-14,16.07
2020-04-13,15.48
2020-04-09,15.99
2020-04-08,15.15
2020-04-07,15.42
2020-04-06,15.11
2020-04-03,14.44
2020-04-02,14.60
2020-04-01,13.93
2020-03-31,14.10
2020-03-30,14.07
2020-03-27,14.48
2020-03-26,14.62
2020-03-25,14.84
